"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2025-03-19 00:00:00","3234 N CAMBRIDGE AV, A, MILWAUKEE, WI, 53211-3026","Missed Collection: Rear Load","2025-03-20 00:00:00","Condo with 1 City Rear Load, not emptied Tues or today."
"2025-03-19 00:00:00","4829 N HOPKINS ST, MILWAUKEE, WI, 53209-5327","Garbage Supervisor Notification","2025-03-20 00:00:00","Caller states G-Carts have been missed for several weeks. UCC reminded caller that G-Carts must be at alley line collection point. Caller confirms 2 G-Carts at alley line location with additional bags due to lack of collection. Requesting collection."
"2025-03-19 00:00:00","3651 S 58TH ST","Street Light Out","2025-03-20 00:00:00","old fixture, -lease replace it with an open bottom fixture to improve the illumination area, thank you."
"2025-03-18 00:00:00","1818 W FAIRMOUNT AV, MILWAUKEE, WI, 53209-5721","Garbage Cart: Missing","2025-03-20 00:00:00","Caller states duplex location is missing 1 G-Cart. Requesting 1 G-Cart for a total of 2."
"2025-03-18 00:00:00","7401 W FERNWOOD CR, MILWAUKEE, WI, 53219-0000","Parking on Unapproved Surface, Private Property","2025-03-18 00:00:00","Parking on Unapproved Surface"
"2025-03-18 00:00:00","5153 N 91ST ST, MILWAUKEE, WI, 53225-4130","Scattered Litter and Debris on Private Property","2025-03-20 00:00:00","Loose litter/debris blowing around the property and onto neighboring properties."
"2025-03-18 00:00:00","1445 N 50TH ST, MILWAUKEE, WI, 53208-2208","Collection Schedule - Garbage and Recycling","",""
"2025-03-18 00:00:00","3254 N 15TH ST, MILWAUKEE, WI, 53206-0000","City-Owned Vacant Lot Cleanup","2025-03-19 00:00:00","Please clean/remove all debris from the property."
"2025-03-18 00:00:00","420 E BURLEIGH ST, MILWAUKEE, WI, 53212-2117","Missed Collection: Recycling","2025-03-19 00:00:00","r cart fully visible, fully accessible, not emptied today but all others left & right were, please collect..."
"2025-03-18 00:00:00","5812 W LISBON AV, MILWAUKEE, WI, 53210-2264","Settlement","2025-03-20 00:00:00","The street here has a huge shift in cement which has caused wear and tears on my tire. Terrible potholes going West on Lisbon. Please fix. This is located on Lisbon Ave near Burger King."
"2025-03-18 00:00:00","6484 N 85TH ST, MILWAUKEE, WI, 53224-5410","INFO ONLY: Miscellaneous Information Request","2025-03-18 00:00:00","Update on RC replacement"
"2025-03-18 00:00:00","2800 N 72ND ST, MILWAUKEE, WI, 53210-1105","Area Dark","2025-03-18 00:00:00",""
"2025-03-18 00:00:00","2828 S 44TH ST, MILWAUKEE, WI, 53219-3404","Street Light Out","","Street light out in front of noted address and 2 more out south of there. They have been out a couple of weeks.thank you, David Dahlmann 2832 s 44th st."
"2025-03-18 00:00:00","3320 N 11TH ST, MILWAUKEE, WI, 53206-2830","Street Light Out","2025-03-18 00:00:00","Light out"
"2025-03-18 00:00:00","3320 N 11TH ST, MILWAUKEE, WI, 53206-2830","Other Animal Problem","2025-03-18 00:00:00","Raccoons 3 big ones"
"2025-03-18 00:00:00","3065 N 61ST ST, 3, MILWAUKEE, WI, 53210-1409","Zoning Violation","2025-03-18 00:00:00","Toilet obstructed"
"2025-03-18 00:00:00","2023 N 55TH ST, MILWAUKEE, WI, 53208-1671","Missed Collection: Garbage","2025-03-18 00:00:00","It seems that no garbage was collected on my block of 55th st"
"2025-03-18 00:00:00","7911 W TRIPOLI AV, MILWAUKEE, WI, 53220-1645","Street Light Out","2025-03-19 00:00:00","No street lights again last night."
"2025-03-17 00:00:00","2512 N 34TH ST, MILWAUKEE, WI, 53210-3030","Scattered Litter and Debris on Private Property","","A lot of trash in the back of the house"
"2025-03-17 00:00:00","5230 N SHERMAN BL, 1, MILWAUKEE, WI, 53209-4655","Zoning Violation","2025-03-17 00:00:00","No hot water."
"2025-03-17 00:00:00","1102 W WISCONSIN AV, MILWAUKEE, WI, 53233-2314","Special Pickup - Accident Debris","2025-03-17 00:00:00","ACCIDENT DEBRIS PICKUP"
"2025-03-17 00:00:00","2861 N FARWELL AV, MILWAUKEE, WI, 53211-3761","Area Dark","2025-03-17 00:00:00",""
"2025-03-17 00:00:00","1671 S 6TH ST, MILWAUKEE, WI, 53204-3408","Street Light Out","2025-03-18 00:00:00","The light during the nights does not turn on and it is dark."
"2025-03-17 00:00:00","3131 S KINNICKINNIC AV, MILWAUKEE, WI, 53207-2935","Street Light Out","2025-03-18 00:00:00","in front of the abandoned pizza hut the street light is out."
"2025-03-17 00:00:00","6509 W HUSTIS ST, MILWAUKEE, WI, 53223-5426","Missed Collection: Additional Items","2025-03-18 00:00:00","Additional bagged garbage that could not fit in the collection bin are sitting curbside."
"2025-03-17 00:00:00","8424 W CHEYENNE ST, MILWAUKEE, WI, 53224-4846","Recycling Cart: Damaged","2025-03-18 00:00:00","One of the wheels fell off"
"2025-03-17 00:00:00","4120 N 6TH ST, MILWAUKEE, WI, 53212-1022","Garbage Cart: No Cart","2025-03-18 00:00:00","We only had one and someone took it"
"2025-03-17 00:00:00","3421 W HIGHLAND BL, MILWAUKEE, WI, 53208-3230","INFO ONLY: Parking Violations Information","2025-03-17 00:00:00","C2510561 citation issued"
"2025-03-17 00:00:00","4120 N 6TH ST, MILWAUKEE, WI, 53212-1022","Recycling Cart: New Customer","2025-03-18 00:00:00","Never received or requested a recycling bin."
"2025-03-17 00:00:00","909 E MICHIGAN ST, MILWAUKEE, WI, 53202-0000","Street Light Out","2025-03-18 00:00:00","Light is out flashing red light right now"
"2025-03-17 00:00:00","1664 N MARSHALL ST, MILWAUKEE, WI, 53202-2052","Collection Schedule - Garbage and Recycling","","REQUESTING A SCHEDULE"
"2025-03-17 00:00:00","3660 S 86TH ST, MILWAUKEE, WI, 53228-1512","Garbage Cart: Additional","","SFH, prop owner advised of fees."
"2025-03-17 00:00:00","3246 N 24TH ST, MILWAUKEE, WI, 53206-1214","Scattered Litter and Debris on Private Property","2025-03-17 00:00:00","litter and debris"
"2025-03-17 00:00:00","7926 W WILBUR AV, MILWAUKEE, WI, 53220-1051","Cave-In, Sinkhole, or Void","","NE Corner of S 80th and W Wilbur Ave. Called In"
"2025-03-17 00:00:00","3341 N 16TH ST, MILWAUKEE, WI, 53206-2338","Bulky Pickup & San Inspector Notification","2025-03-18 00:00:00","Caller reporting illegal dump in alley - carpet, bedding"
"2025-03-17 00:00:00","4409 N 39TH ST, MILWAUKEE, WI, 53209-5801","Garbage Cart: No Cart","2025-03-18 00:00:00","THIS IS A HARDSHIP // OVER THE WEEKEND SOMEONE TOOK THE CALLERS G CART // STATES SHE NEEDS A HARDSHIP STICKER ON IT"
"2025-03-17 00:00:00","6607 W KINNICKINNIC RIVER PK, MILWAUKEE, WI, 53219-3032","Area Dark","2025-03-17 00:00:00","area dark for 2 nights"
"2025-03-17 00:00:00","1628 W HOWARD AV, MILWAUKEE, WI, 53221-1904","Broken Branch Down - Not Blocking","2025-03-17 00:00:00","On Personal Lawn. Not blocking sidewalk. a car length 1/2. and several small ones"
"2025-03-17 00:00:00","2600 W GLENDALE AV, MILWAUKEE, WI, 53209-0000","Scattered Litter and Debris on Private Property","","Garbage all over the ground by this apartment building.  Property owner was asked 2months ago to remove this debris attracting rats.  Garbage containers emptied but Sunshine Co office on 3rd Street refuses to clean up the area around bins."
"2025-03-17 00:00:00","3007 W ST PAUL AV, MILWAUKEE, WI, 53208-4215","Potholes","","So many potholes"
"2025-03-17 00:00:00","2439 W ROGERS ST, MILWAUKEE, WI, 53204-0000","Garbage Supervisor Notification","","3 wks of no collection per caller who is upset. caller wants carts serviced"
"2025-03-17 00:00:00","7112 W MILL RD, MILWAUKEE, WI, 53218-1229","Recycling Cart: No Cart","2025-03-18 00:00:00","No recycling carts"
"2025-03-17 00:00:00","2439 W ROGERS ST, MILWAUKEE, WI, 53204-0000","Recycling Supervisor Notification","2025-03-18 00:00:00","Caller upset that RCarts was not serviced. caller does not know. caller wants carts serviced"
"2025-03-17 00:00:00","4642 W HOWARD AV, MILWAUKEE, WI, 53220-2110","Backwater","2025-03-17 00:00:00","BW in basement- Called in"
"2025-03-16 00:00:00","11427 W FLORIST AV, MILWAUKEE, WI, 53225-2318","Potholes","2025-03-17 00:00:00","Multiple potholes starting at the intersection of Florist & Lovers Lane. The potholes continue Southbound on Lovers Lane toward Carmen Ave."
"2025-03-16 00:00:00","8220 W HAMPTON AV, MILWAUKEE, WI, 53218-4657","Potholes","2025-03-18 00:00:00","Large potholes located at the NorthEast corner of the intersection of Hampton & Appleton Ave. While heading West on Appleton, potholes are in the turn lane which turns into Northbound Appleton. The lane that borders the Asian grocery store."
"2025-03-16 00:00:00","3585 S HOWELL AV, MILWAUKEE, WI, 53207-3321","Street Name Signs","","Sw corner of intersection."
"2025-03-16 00:00:00","101 N 68TH ST, MILWAUKEE, WI, 53213-0000","Potholes","","large potholes on 68th St., between Fairview and Stevenson, West of Maxies."
"2025-03-16 00:00:00","5000 N 84TH ST, MILWAUKEE, WI, 53225-4205","Area Dark","2025-03-16 00:00:00","Every street light around 84th and fairmount is off"
"2025-03-16 00:00:00","6136 W KINNICKINNIC RIVER PK, MILWAUKEE, WI, 53219-2676","Street Light Out","2025-03-16 00:00:00","Street lights out on while block again.  Multiple times over the last few weeks several days in a row"
"2025-03-16 00:00:00","4173 N 83RD ST, MILWAUKEE, WI, 53222-1805","Area Dark","","Street lights are out in every direction for multiple blocks AS USUAL !!!!!!!! AREA DARK !!!!!!! No one answers the phone to take this request !!!!!"
"2025-03-16 00:00:00","3630 S 81ST ST, MILWAUKEE, WI, 53220-1022","Garbage Cart: Delete","","Please remove damaged cart. No need to replace."
"2025-03-16 00:00:00","2863 N STOWELL AV, MILWAUKEE, WI, 53211-3775","Area Dark","","Large area street lights out. All of East Locust Street is dark."
"2025-03-16 00:00:00","8914 W BURLEIGH ST, MILWAUKEE, WI, 53222-3630","Street Light Out","","Only one street light on 8900 block of W Burleigh is functioning. Street light does not even come on some nights."
"2025-03-16 00:00:00","8024 W KATHRYN AV, MILWAUKEE, WI, 53218-3637","Area Dark","2025-03-16 00:00:00","All lights out again on Kathryn Ave & Colfax Court!"
"2025-03-16 00:00:00","1925 W CENTER ST, MILWAUKEE, WI, 53206-2114","Dead Animal","","Report of a dead cat at the intersection of N. 20th St. and W. Center St."
"2025-03-16 00:00:00","900 E MICHIGAN ST, MILWAUKEE, WI, 53202-0000","All Other Signs","","Property address points at wrong street. Pedestrian yield sign on Wisconsin Ave at curve toward Prospect Avenue fell down. Sign itself (not pole) laying in street. See photo"
"2025-03-16 00:00:00","3614 S HERMAN ST, MILWAUKEE, WI, 53207-3507","Street Light Cycling","2025-03-17 00:00:00","Southern most light on East side of Herman and just north of Wilbur"
"2025-03-16 00:00:00","4163 N 76TH ST, MILWAUKEE, WI, 53222-2000","Miscellaneous Street Maintenance Request","2025-03-17 00:00:00","Report of a barrier missing causing a traffic hazard due to a construction hole in the south bound merging lane from Appleton Ave onto N. 76th St.  Operator contacted F. Franco."
"2025-03-16 00:00:00","6926 W MORGAN AV, MILWAUKEE, WI, 53220-1215","Potholes","","Potholes on edge of street entering the alley"
"2025-03-16 00:00:00","915 E MORGAN AV, MILWAUKEE, WI, 53207-3454","Street Light Out","2025-03-17 00:00:00","light out on South end of Morgan between Lenox and Logan"
"2025-03-16 00:00:00","6956 W MORGAN AV, MILWAUKEE, WI, 53220-1215","Rats or Rat Harborage","","This is happening every night.  Rats harboring in neighbors wood piles. Rats are traveling the same path."
"2025-03-16 00:00:00","3609 S LOGAN AV, MILWAUKEE, WI, 53207-3510","Area Dark","","Three lights out on southern end of Logan Ave block between Morgan and Wilbur."
"2025-03-16 00:00:00","442 E MONTANA ST, MILWAUKEE, WI, 53207-2163","Light Pole Cover Open","","Light pole in park on the walking path is open just south of Montana and Adams intersection."
"2025-03-16 00:00:00","2515 N 46TH ST, MILWAUKEE, WI, 53210-2921","Street Light Out","2025-03-17 00:00:00","Street lights out in entire block."
"2025-03-16 00:00:00","2945 N 57TH ST, MILWAUKEE, WI, 53210-1536","Street Light Out","2025-03-17 00:00:00","My street lights are out yet again,  my block is to dangerous for it to be this dark."
"2025-03-16 00:00:00","2556 S 61ST ST, MILWAUKEE, WI, 53219-2623","Area Dark","2025-03-17 00:00:00","Area dark. 1st night."
"2025-03-16 00:00:00","5470 N 66TH ST, MILWAUKEE, WI, 53218-3021","Garbage Cart: Missing","","I moved over here and I don’t have a garage can or recycle can"
"2025-03-16 00:00:00","2859 N 72ND ST, MILWAUKEE, WI, 53210-1106","Street Light Out","","Street lights out"
"2025-03-16 00:00:00","3405 N MARYLAND AV","Stop Sign","","Stop sign down at N. Maryland Ave. at E. Newport Ave.  Stop sign is located on ground on E. Newport Ave. at N. Maryland Ave."
"2025-03-16 00:00:00","1740 N 59TH ST, MILWAUKEE, WI, 53208-1626","Area Dark","2025-03-17 00:00:00","Entire block is dark again."
"2025-03-16 00:00:00","2195 N 51ST ST, MILWAUKEE, WI, 53208-1134","Street Light Out","","Streetlight next to this residence (on Garfield side) has been out for months."
"2025-03-16 00:00:00","2178 N 52ND ST, MILWAUKEE, WI, 53208-1135","Potholes","2025-03-17 00:00:00","Cluster of potholes"
"2025-03-16 00:00:00","2555 S 61ST ST","Street Light Out","","The street lights are out again on South 61st Street between Arthur Avenue and Harrison Avenue. This is a continuous problem!"
"2025-03-16 00:00:00","3500 S HOWELL AV, MILWAUKEE, WI, 53207-3322","Area Dark","","I called earlier to report the entire block is dark. All street lights out."
"2025-03-16 00:00:00","5208 S 27TH ST","Settlement","","The section of road on W Abbott Ave starting from 27th St to the intersection of S 26th St is in need of repair. The concrete has settled with large cracks and several potholes in it. Thank you for your attention to these repairs."
"2025-03-16 00:00:00","6909 W VIENNA AV, MILWAUKEE, WI, 53216-0000","Dead Animal","","Report of a dead possum on W. Vienna Ave between N. 71st and N. 72 St."
"2025-03-16 00:00:00","3126 S 39TH ST, MILWAUKEE, WI, 53215-4015","Garbage Supervisor Notification","2025-03-17 00:00:00","Last week I forgot to put my garbage out the night before pick-up, but put it out when the truck was still two stops away from my house, and they even saw me rolling it to the curb.  However, instead of stopping at my house they just drove by.  I know your can is supposed to be out by 7:00am, but I was very offended when they decided to skip my house just because I rolled my garbage out after 7:00am, but before they got to my driveway.  I guess they had a pretty good laugh, but I found it very disrespectful."
"2025-03-16 00:00:00","3016 A N 19TH ST","Garbage Cart: No Cart","","Rear cottage has no garbage cart. 3016 A North 19th Street"
"2025-03-16 00:00:00","4522 W LLOYD ST, MILWAUKEE, WI, 53208-1239","Dead Animal","","DOG IN ALLEY"
"2025-03-16 00:00:00","2502 N OAKLAND AV, MILWAUKEE, WI, 53211-3930","Potholes","2025-03-17 00:00:00","theres a hole on Bradford just east of oakland"
"2025-03-16 00:00:00","4550 N 23RD ST, MILWAUKEE, WI, 53209-6201","Bulky Pickup & San Inspector Notification","","brush pickup"
"2025-03-16 00:00:00","2705 N OAKLAND AV, 3, MILWAUKEE, WI, 53211-3534","Potholes","2025-03-17 00:00:00","theres a bunch of holes on park west of oakland"
"2025-03-16 00:00:00","2545 S 61ST ST, MILWAUKEE, WI, 53219-2624","Street Light Out","2025-03-17 00:00:00","Out all weekend"
"2025-03-16 00:00:00","2545 S 61ST ST, MILWAUKEE, WI, 53219-2624","Pothole in Alley","","Quite a few in this alley (12) but most are near the garage at this address."
"2025-03-15 00:00:00","1437 E BRADY ST, MILWAUKEE, WI, 53202-1614","Potholes","2025-03-17 00:00:00","There are multiple potholes at the middle of the 5 way intersection on Farwell and Brady. I drive around it everyday and when ran over, it can cause significant damage to a vehicle. This is mainly hit when driving through the intersection in the right lane on Farwell ave"
"2025-03-15 00:00:00","1926 A N FARWELL AV, MILWAUKEE, WI, 53202-1410","Pothole in Alley","","The entire alley has potholes. It is tough to drive through."
"2025-03-15 00:00:00","435 S 68TH ST, MILWAUKEE, WI, 53214-1657","Potholes","","Significant pot holes on 68th from Adler southward to Main St."
"2025-03-15 00:00:00","459 S 68TH ST, MILWAUKEE, WI, 53214-1657","Potholes","","Significant number of potholes and missing asphalt from this address, south to Main St."
"2025-03-15 00:00:00","3456 S 62ND ST","Hanging Light Fixture","2025-03-16 00:00:00","Light fixture hanging off of arm by chain"
"2025-03-15 00:00:00","203 S 64TH ST, MILWAUKEE, WI, 53214-1704","Potholes","","Significant repair needed for potholes and missing pavement on Dixon on north of this address ."
"2025-03-15 00:00:00","6420 W DIXON ST, MILWAUKEE, WI, 53214-1750","Potholes","","Massive amount of potholes and missing pavement from this address , west to intersection of 64th and Dixon.  Looks and feels like a minefield. Significant repair needed.   Dixon is in awful shape from 64th to 68th."
"2025-03-15 00:00:00","4060 A N 14TH ST, MILWAUKEE, WI, 53209-6955","Garbage Cart: Missing","2025-03-17 00:00:00",""
"2025-03-15 00:00:00","141 S 70TH ST, MILWAUKEE, WI, 53214-1653","Potholes","","large deep potholes in and all around intersection of 70th and OConnor streets"
"2025-03-15 00:00:00","112 S 68TH ST, MILWAUKEE, WI, 53214-1652","Potholes","","large potholes in and around intersection of 68th and OConnor, + north and south on 68th"
"2025-03-15 00:00:00","5736 N 92ND ST, MILWAUKEE, WI, 53225-2707","Area Dark","","all of the lights out on the North half of the block. From 5736 N 92nd ST  from there on north.  Again   Again"
"2025-03-15 00:00:00","8909 W STARK ST, MILWAUKEE, WI, 53225-4114","City Tree Down","","partially blocking road"
"2025-03-15 00:00:00","2604 N LAKE DR, MILWAUKEE, WI, 53211-3837","All Other Signs","","A temporary road closed sign in down needs to put back in its stand"
"2025-03-15 00:00:00","1628 W HOWARD AV, MILWAUKEE, WI, 53221-1904","Broken Branch Down - Not Blocking","","BROKEN BRANCHES DOWN IN HER YARD FROM CITY TREE"
"2025-03-15 00:00:00","1119 S 37TH ST, MILWAUKEE, WI, 53215-1421","Recycling Cart: Missing","","We need a recycling bin. Someone took ours."
"2025-03-15 00:00:00","1335 N 58TH ST, MILWAUKEE, WI, 53208-2133","Recycling Cart: Damaged","","Large whole in cart can't put recycling in"
"2025-03-15 00:00:00","2689 S 7TH ST, MILWAUKEE, WI, 53215-3407","Potholes","","There is a large pot hole close to the corner of 7th and Cleveland. I have been in the areas a lot and this concrete had to fall on or around 3/14/25. It is near a school and residential and extremely dangerous for kids to pass. The hole is large enough for someone to fall down in the hole."
"2025-03-15 00:00:00","1539 N 53RD ST, MILWAUKEE, WI, 53208-2230","Bulky Pickup & San Inspector Notification","","pick up everything except the mattress please. mattress is our next door neighbor’s"
"2025-03-15 00:00:00","2276 A S CHASE AV, MILWAUKEE, WI, 53207-1128","Garbage Cart: Missing","","1 G Cart broke and crew tossed it."
"2025-03-15 00:00:00","104 W RESERVOIR AV, MILWAUKEE, WI, 53212-3726","Missed Collection: Garbage","","Garbage not picked up, again."
"2025-03-15 00:00:00","2505 E BENNETT AV, MILWAUKEE, WI, 53207-3003","Bulky Pickup & San Inspector Notification","","3 old window air conditioners. Under 4 cubic yards"
"2025-03-15 00:00:00","716 S 10TH ST","Electronic Waste","","Large quantity of needles discarded in alley by fence."
"2025-03-15 00:00:00","2424 E BELLEVIEW PL","Settlement","","There is a massive portion of pavement in the road missing after it appears some road construction was done here recently. I originally submitted this as a pothole, but the request was closed and nothing was fixed. I am attaching a photo here. The missing portion of pavement is deep enough that it rattles your entire car's frame when you drive over it and forces drivers to the opposite side of the road if they don't want to potentially damage their car's alignment. More paving needs to be done to level the street out."
"2025-03-15 00:00:00","2929 N 81ST ST, MILWAUKEE, WI, 53222-4807","Potholes","2025-03-17 00:00:00","Potholes are located all over the place in front of 81st school with 10” chunks of cement loose in the street."
"2025-03-15 00:00:00","3548 S 1ST ST, MILWAUKEE, WI, 53207-3213","Potholes","","null"
"2025-03-15 00:00:00","2932 N NEWHALL ST","Garbage Cart Collection Request: Cart Not at Collection Point","2025-03-17 00:00:00","Nobody has picked up my garbage yet and I really don’t know why…my car is parked far enough away and I never have had problems until the last two weeks. I just need someone to collect my garbages…I have no notes from the city on my bins either"
"2025-03-15 00:00:00","900 E MICHIGAN ST, MILWAUKEE, WI, 53202-0000","Yield Sign","","Property address points at wrong street. Pedestrian yield sign on Wisconsin Ave at curve toward Prospect Avenue fell down. Sign itself (not pole) laying in street. See photo"
"2025-03-15 00:00:00","3531 S 19TH ST, MILWAUKEE, WI, 53221-1501","Broken Branch Down - Not Blocking","2025-03-17 00:00:00","6-7 foot tree branch down due to high winds. About 6-7 inches in diameter. Pulled onto the grass area near sidewalk."
"2025-03-15 00:00:00","6420 W CHAMBERS ST, MILWAUKEE, WI, 53210-1305","Recycling Cart: New Customer","","I just moved in at this property.  There are two green garbage cans but no recycling.  I am requesting a recycling bin."
"2025-03-15 00:00:00","2931 S HERMAN ST","Street Light Out","2025-03-16 00:00:00","The street lights were off along Logan and Herman between Montana and Oklahoma on Friday, March 14th."
"2025-03-15 00:00:00","5940 W BLUE MOUND RD, MILWAUKEE, WI, 53213-4228","Potholes","2025-03-17 00:00:00","Street is buckling and there is a pipe showing. Really dangerous during the parade."
"2025-03-15 00:00:00","10205 W GRANTOSA DR, MILWAUKEE, WI, 53222-1327","Dead Animal","","Raccoon in Middle of Road"
"2025-03-15 00:00:00","4918 W WASHINGTON BL, MILWAUKEE, WI, 53208-1728","Missed Collection: Recycling","",""
"2025-03-14 00:00:00","3219 S DAYFIELD AV, MILWAUKEE, WI, 53207-3109","Area Dark","","3200 block of Dayfield Ave is out, lights were on earlier this morning"
"2025-03-14 00:00:00","1308 E MANITOBA ST, MILWAUKEE, WI, 53207-2451","Street Light Out","","Light out again"
"2025-03-14 00:00:00","4454 S 1ST ST, MILWAUKEE, WI, 53207-4922","Zoning Violation","2025-03-14 00:00:00","They store garbage cans on the street in front of their house."
"2025-03-14 00:00:00","7032 W FOND DU LAC AV, MILWAUKEE, WI, 53218-0000","Rats or Rat Harborage","","Please check both 7020 & 7032 W Fond du Lac Ave as both properties have rat burrows.  Thank you!!"
"2025-03-14 00:00:00","6608 W CENTER ST, MILWAUKEE, WI, 53210-0000","Rats or Rat Harborage","","Evidence of rat burrows adjacent to front common door landscape beds/stoop"
"2025-03-14 00:00:00","1747 N 51ST ST","Miscellaneous Street Maintenance Request","2025-03-14 00:00:00","43rd and Manitoba underpass
The cement is uplifted and the road is bumpy"
"2025-03-14 00:00:00","6156 N 112TH ST, MILWAUKEE, WI, 53225-1204","Street Light Out","","Street light has not been working for the past few nights . The light is at the at the end of the dead in directly in front of my home which is 6156 N 112th st. It is the only light on the block so it gets extremely dark at night"
